,Precision,Matrix product
307,1.1697212570594471e-07,Pd.H.Z.T.H.P.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Id
308,1.1270351721458988e-07,P.H.Z.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Id
309,8.112180323822437e-08,Pd.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.P
310,5.154331402144288e-08,H.P.X.T.H.T.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.P
311,2.887153137992691e-08,H.Pd.X.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T
312,1.8712404390874824e-08,Z.T.H.P.T.H.P.T.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Id
313,1.0309645152972961e-08,P.T.H.T.H.P.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.Td.Z
314,7.767050475251005e-09,H.Z.T.H.P.T.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Id
315,5.872825308736311e-09,P.T.H.T.H.P.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.Td.Z.H.T.H.T
316,4.7585690068661745e-09,H.P.T.H.P.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.T.H.T.H.Td.Z.H.Td.Z.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.Td.Z.H.Td.Z.H.Td.Z.H.Td.Z.H.T.H.T.H.T.H.Td.Z.H.T.H.T.H.P
